Month,Isopod_ID,Field_Habitat,Color_Initial,Tank_ID,Trial_Type,Time_Interval,Time (h),Location,Location_Color,Location_Habitat,Sex,Weather,Date_of_Collection,Area (cmsq)
May,BR2,Eelgrass,BR,C,BASU/BAFU,0,10:14,SB,NONE,SB,F,"70F, Sunny",Late April,0.435
May,BR2,Eelgrass,BR,C,BASU/BAFU,1,11:41,SB,NONE,SB,F,"70F, Sunny",Late April,0.435
May,BR2,Eelgrass,BR,C,BASU/BAFU,2,12:43,BASU,B,ASU,F,"70F, Sunny",Late April,0.435
May,BR2,Eelgrass,BR,C,BASU/BAFU,,N/A,N/A,N/A,N/A,F,"70F, Sunny",Late April,0.435
May,GR3,Eelgrass,GR,A,BASU/BAFU,0,9:33,SB,NONE,SB,M,"61F, Rainy, Cloudy",Late April,1.652
May,GR3,Eelgrass,GR,A,BASU/BAFU,1,10:39,BASU,B,ASU,M,"61F, Rainy, Cloudy",Late April,1.652
May,GR3,Eelgrass,GR,A,BASU/BAFU,2,11:33,TW,NONE,TW,M,"61F, Rainy, Cloudy",Late April,1.652
May,GR3,Eelgrass,GR,A,BASU/BAFU,3,12:39,BASU,B,ASU,M,"61F, Rainy, Cloudy",Late April,1.652
May,BR3,Eelgrass,BR,B,GASU/GAFU,0,9:36,Drain,NONE,Drain,F,"61F, Rainy, Cloudy",Late April,0.491
May,BR3,Eelgrass,BR,B,GASU/GAFU,1,10:36,GASU,G,ASU,F,"61F, Rainy, Cloudy",Late April,0.491
May,BR3,Eelgrass,BR,B,GASU/GAFU,2,11:36,GASU,G,ASU,F,"61F, Rainy, Cloudy",Late April,0.491
May,BR3,Eelgrass,BR,B,GASU/GAFU,3,12:36,GASU,G,ASU,F,"61F, Rainy, Cloudy",Late April,0.491
May,GR4,Eelgrass,GR,C,BASU/BAFU,0,9:45,BASU,B,ASU,M,"61F, Rainy, Cloudy",Late April,1.1
May,GR4,Eelgrass,GR,C,BASU/BAFU,1,10:45,BAFU,B,AFU,M,"61F, Rainy, Cloudy",Late April,1.1
May,GR4,Eelgrass,GR,C,BASU/BAFU,2,11:45,BAFU,B,AFU,M,"61F, Rainy, Cloudy",Late April,1.1
May,GR4,Eelgrass,GR,C,BASU/BAFU,3,12:44,SW,B,AFU,M,"61F, Rainy, Cloudy",Late April,1.1
May,BR4,Eelgrass,BR,D,GASU/GAFU,0,9:51,SB,NONE,SB,M,"61F, Rainy, Cloudy",Late April,1.512
May,BR4,Eelgrass,BR,D,GASU/GAFU,1,10:51,GASU,G,ASU,M,"61F, Rainy, Cloudy",Late April,1.512
May,BR4,Eelgrass,BR,D,GASU/GAFU,2,11:51,GASU,G,ASU,M,"61F, Rainy, Cloudy",Late April,1.512
May,BR4,Eelgrass,BR,D,GASU/GAFU,3,12:49,GASU,G,ASU,M,"61F, Rainy, Cloudy",Late April,1.512
May,BR5,Eelgrass,BR,A,BASU/BAFU,0,13:21,SB,NONE,SB,F,"66F, Sunny, Some Clouds",Late April,0.309
May,BR5,Eelgrass,BR,A,BASU/BAFU,1,14:20,BASU,B,ASU,F,"66F, Sunny, Some Clouds",Late April,0.309
May,BR5,Eelgrass,BR,A,BASU/BAFU,2,15:20,BASU,B,ASU,F,"66F, Sunny, Some Clouds",Late April,0.309
May,BR5,Eelgrass,BR,A,BASU/BAFU,3,4:21,BASU,B,ASU,F,"66F, Sunny, Some Clouds",Late April,0.309
May,GR5,Eelgrass,GR,B,GASU/GAFU,0,13:26,GASU,G,ASU,M,"66F, Sunny, Some Clouds",Late April,1.376
May,GR5,Eelgrass,GR,B,GASU/GAFU,1,14:26,GASU,G,ASU,M,"66F, Sunny, Some Clouds",Late April,1.376
May,GR5,Eelgrass,GR,B,GASU/GAFU,2,15:26,GASU,G,ASU,M,"66F, Sunny, Some Clouds",Late April,1.376
May,GR5,Eelgrass,GR,B,GASU/GAFU,3,16:26,GASU,G,ASU,M,"66F, Sunny, Some Clouds",Late April,1.376
May,BR6,Eelgrass,BR,C,BASU/BAFU,0,13:32,SW,NONE,Drain,M*,"66F, Sunny, Some Clouds",Late April,0.294
May,BR6,Eelgrass,BR,C,BASU/BAFU,1,14:32,BASU,B,ASU,M*,"66F, Sunny, Some Clouds",Late April,0.294
May,BR6,Eelgrass,BR,C,BASU/BAFU,2,15:32,BASU,B,ASU,M*,"66F, Sunny, Some Clouds",Late April,0.294
May,BR6,Eelgrass,BR,C,BASU/BAFU,3,16:32,BASU,B,ASU,M*,"66F, Sunny, Some Clouds",Late April,0.294
May,GR6,Eelgrass,GR,D,GASU/GAFU,0,13:40,GASU,G,ASU,M,"66F, Sunny, Some Clouds",Late April,1.091
May,GR6,Eelgrass,GR,D,GASU/GAFU,1,14:43,Drain,NONE,Drain,M,"66F, Sunny, Some Clouds",Late April,1.091
May,GR6,Eelgrass,GR,D,GASU/GAFU,2,15:39,TW,NONE,TW,M,"66F, Sunny, Some Clouds",Late April,1.091
May,GR6,Eelgrass,GR,D,GASU/GAFU,3,16:39,SW,NONE,TW,M,"66F, Sunny, Some Clouds",Late April,1.091
May,GR7,Eelgrass,GR,A,BASU/BAFU,0,9:17,BAFU,B,AFU,M,"60F, partly cloudy",Late April,0.469
May,GR7,Eelgrass,GR,A,BASU/BAFU,1,10:17,BAFU,B,AFU,M,"60F, partly cloudy",Late April,0.469
May,GR7,Eelgrass,GR,A,BASU/BAFU,2,11:17,BAFU,B,AFU,M,"60F, partly cloudy",Late April,0.469
May,GR7,Eelgrass,GR,A,BASU/BAFU,3,12:17,BAFU,B,AFU,M,"60F, partly cloudy",Late April,0.469
May,BR7,Eelgrass,BR,B,GASU/GAFU,0,9:19,GASU,G,ASU,M,"60F, partly cloudy",Late April,0.261
May,BR7,Eelgrass,BR,B,GASU/GAFU,1,10:19,GASU,G,ASU,M,"60F, partly cloudy",Late April,0.261
May,BR7,Eelgrass,BR,B,GASU/GAFU,2,11:19,GASU,G,ASU,M,"60F, partly cloudy",Late April,0.261
May,BR7,Eelgrass,BR,B,GASU/GAFU,3,12:19,GASU,G,ASU,M,"60F, partly cloudy",Late April,0.261
May,GR8,Eelgrass,GR,C,BASU/BAFU,0,9:28,SB,NONE,SB,M,"60F, partly cloudy",Late April,0.846
