Isopod_ID,Isopod_Color,Field_Habitat,Trial_Type,Date_of_Collection,Area (cmsq),BAFU_sum,BASU_sum,GAFU_sum,GASU_sum,SW_sum,SB_sum,TW_sum,Drain_sum,total_time,BAFU_prop,BASU_prop,GAFU_prop,GASU_prop,SW_prop,SB_prop,TW_prop,Drain_prop
BR10,Brown,Eelgrass,BASU/BAFU,Late April,0.493,0,2,0,0,0,2,0,0,4,0,0.5,0,0,0,0.5,0,0
BR100,Brown,Eelgrass,BASU/BAFU,Early July,0.24,4,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0
BR101,Brown,Eelgrass,GASU/GAFU,Mid June,0.315,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,1
BR102,Brown,Eelgrass,GASU/GAFU,Mid June,0.402,0,0,3,0,0,0,1,0,4,0,0,0.75,0,0,0,0.25,0
BR103,Brown,Eelgrass,BASU/BAFU,Mid June,0.453,0,4,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0
BR104,Brown,Eelgrass,BASU/BAFU,Mid June,0.353,0,4,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0
BR105,Brown,Eelgrass,GASU/GAFU,Early August,0.275,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,1
BR106,Brown,Eelgrass,GASU/GAFU,Early August,0.213,0,0,3,0,0,1,0,0,4,0,0,0.75,0,0,0.25,0,0
BR107,Brown,Eelgrass,BASU/BAFU,Early May,0.311,0,4,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0
BR108,Brown,Eelgrass,BASU/BAFU,Early May,0.313,2,1,0,0,0,0,1,0,4,0.5,0.25,0,0,0,0,0.25,0
BR109,Brown,Eelgrass,GASU/GAFU,Mid June,0.229,0,0,4,0,0,0,0,0,4,0,0,1,0,0,0,0,0
BR11,Brown,Eelgrass,GASU/GAFU,Late April,0.319,0,0,0,4,0,0,0,0,4,0,0,0,1,0,0,0,0
BR110,Brown,Eelgrass,GASU/GAFU,Mid June,0.369,0,0,4,0,0,0,0,0,4,0,0,1,0,0,0,0,0
BR111,Brown,Eelgrass,BASU/BAFU,Mid June,0.145,0,3,0,0,0,0,1,0,4,0,0.75,0,0,0,0,0.25,0
BR112,Brown,Eelgrass,BASU/BAFU,Mid June,0.235,0,2,0,0,0,1,1,0,4,0,0.5,0,0,0,0.25,0.25,0
BR113,Brown,Eelgrass,GASU/GAFU,Mid June,0.252,0,0,0,4,0,0,0,0,4,0,0,0,1,0,0,0,0
BR115,Brown,Eelgrass,BASU/BAFU,Early May,0.23,2,2,0,0,0,0,0,0,4,0.5,0.5,0,0,0,0,0,0
BR116,Brown,Eelgrass,BASU/BAFU,Early May,0.251,2,1,0,0,0,0,1,0,4,0.5,0.25,0,0,0,0,0.25,0
BR117,Brown,Eelgrass,GASU/GAFU,Mid June,0.265,0,0,1,0,0,0,2,1,4,0,0,0.25,0,0,0,0.5,0.25
BR118,Brown,Eelgrass,GASU/GAFU,Early May,0.431,0,0,3,0,0,0,1,0,4,0,0,0.75,0,0,0,0.25,0
BR119,Brown,Eelgrass,BASU/BAFU,Early August,0.171,4,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0
BR12,Brown,Eelgrass,GASU/GAFU,Late April,0.855,0,0,0,2,0,2,0,0,4,0,0,0,0.5,0,0.5,0,0
BR120,Brown,Eelgrass,BASU/BAFU,Early May,0.212,0,4,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0
BR121,Brown,Eelgrass,GASU/GAFU,Early May,0.226,0,0,0,0,0,0,3,1,4,0,0,0,0,0,0,0.75,0.25
BR122,Brown,Eelgrass,GASU/GAFU,Early May,0.177,0,0,4,0,0,0,0,0,4,0,0,1,0,0,0,0,0
BR13,Brown,Eelgrass,BASU/BAFU,Late April,0.472,1,3,0,0,0,0,0,0,4,0.25,0.75,0,0,0,0,0,0
BR14,Brown,Eelgrass,BASU/BAFU,Late April,0.319,2,0,0,0,0,1,1,0,4,0.5,0,0,0,0,0.25,0.25,0
BR15,Brown,Eelgrass,GASU/GAFU,Early May,0.289,0,0,3,0,0,1,0,0,4,0,0,0.75,0,0,0.25,0,0
BR16,Brown,Eelgrass,GASU/GAFU,Early May,0.443,0,0,4,0,0,0,0,0,4,0,0,1,0,0,0,0,0
BR17,Brown,Eelgrass,BASU/BAFU,Early May,0.618,4,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0
BR18,Brown,Eelgrass,BASU/BAFU,Early May,0.238,0,4,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0
BR19,Brown,Eelgrass,GASU/GAFU,Early May,0.532,0,0,0,4,0,0,0,0,4,0,0,0,1,0,0,0,0
BR2,Brown,Eelgrass,BASU/BAFU,Late April,0.435,0,1,0,0,0,2,0,0,3,0,0.333333333,0,0,0,0.666666667,0,0
BR20,Brown,Eelgrass,GASU/GAFU,Early May,0.24,0,0,0,1,0,1,2,0,4,0,0,0,0.25,0,0.25,0.5,0
BR21,Brown,Fucus,BASU/BAFU,Early May,0.417,0,4,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0
BR22,Brown,Fucus,BASU/BAFU,Early May,0.314,3,1,0,0,0,0,0,0,4,0.75,0.25,0,0,0,0,0,0
BR23,Brown,Fucus,GASU/GAFU,Early May,0.376,0,0,3,0,0,0,0,0,3,0,0,1,0,0,0,0,0
BR23B,Brown,Eelgrass,BASU/BAFU,Early May,0.345,0,4,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0
BR24,Brown,Fucus,GASU/GAFU,Early May,0.57,0,0,0,3,0,1,0,0,4,0,0,0,0.75,0,0.25,0,0
BR24B,Brown,Eelgrass,BASU/BAFU,Early May,0.399,0,1,0,0,2,0,0,1,4,0,0.25,0,0,0.5,0,0,0.25
BR25,Brown,Fucus,BASU/BAFU,Early May,0.448,4,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0
BR26,Brown,Fucus,BASU/BAFU,Early May,0.378,1,2,0,0,0,0,0,1,4,0.25,0.5,0,0,0,0,0,0.25
BR27,Brown,Fucus,GASU/GAFU,Mid June,0.507,0,0,2,2,0,0,0,0,4,0,0,0.5,0.5,0,0,0,0
BR28,Brown,Fucus,GASU/GAFU,Mid June,0.387,0,0,0,3,0,0,1,0,4,0,0,0,0.75,0,0,0.25,0
BR29,Brown,Fucus,BASU/BAFU,Mid June,0.269,0,4,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0
BR3,Brown,Eelgrass,GASU/GAFU,Late April,0.491,0,0,0,3,0,0,0,1,4,0,0,0,0.75,0,0,0,0.25
BR30,Brown,Fucus,BASU/BAFU,Mid June,0.672,0,4,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0
BR31,Brown,Fucus,GASU/GAFU,Mid June,0.457,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,1
BR32,Brown,Fucus,GASU/GAFU,Mid June,0.347,0,0,0,1,2,0,1,0,4,0,0,0,0.25,0.5,0,0.25,0
BR33,Brown,Fucus,BASU/BAFU,Mid June,0.289,0,2,0,0,1,0,0,0,3,0,0.666666667,0,0,0.333333333,0,0,0
BR34,Brown,Fucus,BASU/BAFU,Mid June,0.33,0,3,0,0,0,0,0,1,4,0,0.75,0,0,0,0,0,0.25
BR35,Brown,Fucus,GASU/GAFU,Mid June,0.481,0,0,0,3,0,1,0,0,4,0,0,0,0.75,0,0.25,0,0
BR36,Brown,Fucus,GASU/GAFU,Mid June,1.496,0,0,0,4,0,0,0,0,4,0,0,0,1,0,0,0,0
BR37,Brown,Fucus,BASU/BAFU,Mid June,0.32,0,3,0,0,0,0,0,1,4,0,0.75,0,0,0,0,0,0.25
BR38,Brown,Fucus,BASU/BAFU,Mid June,0.33,0,4,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0
BR39,Brown,Fucus,GASU/GAFU,Mid June,0.33,0,0,0,4,0,0,0,0,4,0,0,0,1,0,0,0,0
BR4,Brown,Eelgrass,GASU/GAFU,Late April,1.512,0,0,0,3,0,1,0,0,4,0,0,0,0.75,0,0.25,0,0
BR40,Brown,Fucus,GASU/GAFU,Mid June,0.464,0,0,3,0,0,1,0,0,4,0,0,0.75,0,0,0.25,0,0
BR41,Brown,Fucus,BASU/BAFU,Mid June,0.391,0,2,0,0,1,0,1,0,4,0,0.5,0,0,0.25,0,0.25,0
BR42,Brown,Fucus,BASU/BAFU,Mid June,0.447,0,4,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0
BR43,Brown,Fucus,GASU/GAFU,Early July,0.628,0,0,4,0,0,0,0,0,4,0,0,1,0,0,0,0,0
BR44,Brown,Fucus,GASU/GAFU,Early July,0.376,0,0,1,2,0,0,1,0,4,0,0,0.25,0.5,0,0,0.25,0
BR45,Brown,Fucus,BASU/BAFU,Mid June,1.685,0,2,0,0,0,0,2,0,4,0,0.5,0,0,0,0,0.5,0
BR46,Brown,Fucus,BASU/BAFU,Mid June,0.315,4,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0
BR47,Brown,Fucus,GASU/GAFU,Early May,0.497,0,0,0,3,0,0,1,0,4,0,0,0,0.75,0,0,0.25,0
BR48,Brown,Fucus,GASU/GAFU,Early May,0.323,0,0,4,0,0,0,0,0,4,0,0,1,0,0,0,0,0
BR49,Brown,Eelgrass,GASU/GAFU,Early July,1.462,0,0,2,1,0,1,0,0,4,0,0,0.5,0.25,0,0.25,0,0
BR5,Brown,Eelgrass,BASU/BAFU,Late April,0.309,0,3,0,0,0,1,0,0,4,0,0.75,0,0,0,0.25,0,0
BR50,Brown,Eelgrass,GASU/GAFU,Early July,0.409,0,0,4,0,0,0,0,0,4,0,0,1,0,0,0,0,0
BR51,Brown,Eelgrass,GASU/BAFU,Mid June,0.554,0,0,0,1,0,3,0,0,4,0,0,0,0.25,0,0.75,0,0
BR52,Brown,Eelgrass,GASU/BAFU,Mid June,0.678,0,0,0,0,0,4,0,0,4,0,0,0,0,0,1,0,0
BR53,Brown,Fucus,GASU/BAFU,Early July,0.388,1,0,0,3,0,0,0,0,4,0.25,0,0,0.75,0,0,0,0
BR54,Brown,Fucus,GASU/BAFU,Early July,0.352,4,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0
BR55,Brown,Eelgrass,GASU/BAFU,Mid June,0.377,0,0,0,1,0,3,0,0,4,0,0,0,0.25,0,0.75,0,0
BR56,Brown,Eelgrass,GASU/BAFU,Mid June,0.367,3,0,0,0,0,1,0,0,4,0.75,0,0,0,0,0.25,0,0
BR57,Brown,Fucus,GASU/BAFU,Mid June,0.636,0,0,0,4,0,0,0,0,4,0,0,0,1,0,0,0,0
BR58,Brown,Fucus,GASU/BAFU,Mid June,0.598,0,0,0,4,0,0,0,0,4,0,0,0,1,0,0,0,0
BR59,Brown,Eelgrass,GASU/BAFU,Mid June,0.34,0,0,0,4,0,0,0,0,4,0,0,0,1,0,0,0,0
BR6,Brown,Eelgrass,BASU/BAFU,Late April,0.294,0,3,0,0,1,0,0,0,4,0,0.75,0,0,0.25,0,0,0
BR60,Brown,Eelgrass,GASU/BAFU,Mid June,0.329,0,0,0,4,0,0,0,0,4,0,0,0,1,0,0,0,0
BR61,Brown,Fucus,GASU/BAFU,Mid June,0.269,2,0,0,0,0,0,0,2,4,0.5,0,0,0,0,0,0,0.5
BR62,Brown,Fucus,GASU/BAFU,Mid June,0.319,3,0,0,1,0,0,0,0,4,0.75,0,0,0.25,0,0,0,0
BR63,Brown,Eelgrass,GASU/BAFU,Mid June,0.365,0,0,0,0,0,4,0,0,4,0,0,0,0,0,1,0,0
BR64,Brown,Eelgrass,GASU/BAFU,Mid June,0.31,0,0,0,2,0,0,2,0,4,0,0,0,0.5,0,0,0.5,0
BR65,Brown,Fucus,GASU/BAFU,Mid June,0.364,0,0,0,4,0,0,0,0,4,0,0,0,1,0,0,0,0
BR66,Brown,Fucus,GASU/BAFU,Mid June,0.313,3,0,0,0,0,1,0,0,4,0.75,0,0,0,0,0.25,0,0
BR67,Brown,Fucus,GASU/BAFU,Mid June,0.344,0,0,0,4,0,0,0,0,4,0,0,0,1,0,0,0,0
BR68,Brown,Fucus,GASU/BAFU,Early May,0.57,0,0,0,2,0,2,0,0,4,0,0,0,0.5,0,0.5,0,0
BR69,Brown,Eelgrass,GASU/BAFU,Mid June,1.007,0,0,0,3,0,1,0,0,4,0,0,0,0.75,0,0.25,0,0
BR7,Brown,Eelgrass,GASU/GAFU,Late April,0.261,0,0,0,4,0,0,0,0,4,0,0,0,1,0,0,0,0
BR70,Brown,Eelgrass,GASU/BAFU,Mid June,0.587,4,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0
BR71,Brown,Eelgrass,GASU/BAFU,Mid June,0.265,3,0,0,0,0,1,0,0,4,0.75,0,0,0,0,0.25,0,0
BR72,Brown,Eelgrass,GASU/BAFU,Mid June,0.444,1,0,0,3,0,0,0,0,4,0.25,0,0,0.75,0,0,0,0
BR73,Brown,Fucus,GASU/BAFU,Early July,0.37,0,0,0,4,0,0,0,0,4,0,0,0,1,0,0,0,0
BR74,Brown,Fucus,GASU/BAFU,Early July,0.474,1,0,0,2,0,0,1,0,4,0.25,0,0,0.5,0,0,0.25,0
BR75,Brown,Eelgrass,GASU/BAFU,Early May,0.291,0,0,0,2,0,0,2,0,4,0,0,0,0.5,0,0,0.5,0
BR76,Brown,Eelgrass,GASU/BAFU,Early May,0.391,1,0,0,0,0,1,0,2,4,0.25,0,0,0,0,0.25,0,0.5
BR77,Brown,Eelgrass,GASU/BAFU,Mid June,0.397,4,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0
BR78,Brown,Eelgrass,GASU/BAFU,Mid June,0.46,0,0,0,0,0,4,0,0,4,0,0,0,0,0,1,0,0
BR79,Brown,Fucus,GASU/BAFU,Mid June,0.321,3,0,0,0,0,0,1,0,4,0.75,0,0,0,0,0,0.25,0
BR8,Brown,Eelgrass,GASU/GAFU,Late April,0.294,0,0,0,3,0,0,1,0,4,0,0,0,0.75,0,0,0.25,0
BR80,Brown,Fucus,GASU/BAFU,Mid June,0.326,4,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0
BR81,Brown,Eelgrass,GASU/BAFU,Mid June,0.32,0,0,0,3,0,0,0,1,4,0,0,0,0.75,0,0,0,0.25
BR82,Brown,Eelgrass,GASU/BAFU,Mid June,0.313,0,0,0,4,0,0,0,0,4,0,0,0,1,0,0,0,0
BR83,Brown,Eelgrass,GASU/BAFU,Mid June,0.276,3,0,0,0,0,0,1,0,4,0.75,0,0,0,0,0,0.25,0
BR84,Brown,Eelgrass,GASU/BAFU,Early May,0.339,0,0,0,4,0,0,0,0,4,0,0,0,1,0,0,0,0
BR85,Brown,Fucus,BASU/GAFU,Mid June,0.399,0,4,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0
BR86,Brown,Fucus,BASU/GAFU,Mid June,0.674,0,0,4,0,0,0,0,0,4,0,0,1,0,0,0,0,0
BR87,Brown,Fucus,BASU/GAFU,Mid June,1.108,0,3,0,0,1,0,0,0,4,0,0.75,0,0,0.25,0,0,0
