Isopod_ID,Isopod_Color,Field_Habitat,Trial_Type,Date_of_Collection,Area (cmsq),BASU_new,BAFU_new,GASU_new,GAFU_new,Prop_Field_Match
BR10,Brown,Eelgrass,BASU/BAFU,Late April,0.493,0.5,0.005,0.005,0.005,0.5
BR100,Brown,Eelgrass,BASU/BAFU,Early July,0.24,0.005,0.995,0.005,0.005,0.005
BR101,Brown,Eelgrass,GASU/GAFU,Mid June,0.315,0.005,0.005,0.005,0.005,0.005
BR102,Brown,Eelgrass,GASU/GAFU,Mid June,0.402,0.005,0.005,0.005,0.75,0.005
BR103,Brown,Eelgrass,BASU/BAFU,Mid June,0.453,0.995,0.005,0.005,0.005,0.995
BR104,Brown,Eelgrass,BASU/BAFU,Mid June,0.353,0.995,0.005,0.005,0.005,0.995
BR105,Brown,Eelgrass,GASU/GAFU,Early August,0.275,0.005,0.005,0.005,0.005,0.005
BR106,Brown,Eelgrass,GASU/GAFU,Early August,0.213,0.005,0.005,0.005,0.75,0.005
BR107,Brown,Eelgrass,BASU/BAFU,Early May,0.311,0.995,0.005,0.005,0.005,0.995
BR108,Brown,Eelgrass,BASU/BAFU,Early May,0.313,0.25,0.5,0.005,0.005,0.25
BR109,Brown,Eelgrass,GASU/GAFU,Mid June,0.229,0.005,0.005,0.005,0.995,0.005
BR11,Brown,Eelgrass,GASU/GAFU,Late April,0.319,0.005,0.005,0.995,0.005,0.995
BR110,Brown,Eelgrass,GASU/GAFU,Mid June,0.369,0.005,0.005,0.005,0.995,0.005
BR111,Brown,Eelgrass,BASU/BAFU,Mid June,0.145,0.75,0.005,0.005,0.005,0.75
BR112,Brown,Eelgrass,BASU/BAFU,Mid June,0.235,0.5,0.005,0.005,0.005,0.005
BR113,Brown,Eelgrass,GASU/GAFU,Mid June,0.252,0.005,0.005,0.995,0.005,0.995
BR115,Brown,Eelgrass,BASU/BAFU,Early May,0.23,0.5,0.5,0.005,0.005,0.5
BR116,Brown,Eelgrass,BASU/BAFU,Early May,0.251,0.25,0.5,0.005,0.005,0.25
BR117,Brown,Eelgrass,GASU/GAFU,Mid June,0.265,0.005,0.005,0.005,0.25,0.005
BR118,Brown,Eelgrass,GASU/GAFU,Early May,0.431,0.005,0.005,0.005,0.75,0.005
BR119,Brown,Eelgrass,BASU/BAFU,Early August,0.171,0.005,0.995,0.005,0.005,0.995
BR12,Brown,Eelgrass,GASU/GAFU,Late April,0.855,0.005,0.005,0.5,0.005,0.5
BR120,Brown,Eelgrass,BASU/BAFU,Early May,0.212,0.995,0.005,0.005,0.005,0.995
BR121,Brown,Eelgrass,GASU/GAFU,Early May,0.226,0.005,0.005,0.005,0.005,0.005
BR122,Brown,Eelgrass,GASU/GAFU,Early May,0.177,0.005,0.005,0.005,0.995,0.005
BR13,Brown,Eelgrass,BASU/BAFU,Late April,0.472,0.75,0.25,0.005,0.005,0.75
BR14,Brown,Eelgrass,BASU/BAFU,Late April,0.319,0.005,0.5,0.005,0.005,0.005
BR15,Brown,Eelgrass,GASU/GAFU,Early May,0.289,0.005,0.005,0.005,0.75,0.005
BR16,Brown,Eelgrass,GASU/GAFU,Early May,0.443,0.005,0.005,0.005,0.995,0.005
BR17,Brown,Eelgrass,BASU/BAFU,Early May,0.618,0.005,0.995,0.005,0.005,0.005
BR18,Brown,Eelgrass,BASU/BAFU,Early May,0.238,0.995,0.005,0.005,0.005,0.995
BR19,Brown,Eelgrass,GASU/GAFU,Early May,0.532,0.005,0.005,0.995,0.005,0.995
BR2,Brown,Eelgrass,BASU/BAFU,Late April,0.435,0.333333333,0.005,0.005,0.005,0.333333333
