Trial_Type,Location,Isopod_Color,emmean,SE
BASU/BAFU,BAFU,Brown,0.366,0.057
GASU/BAFU,BAFU,Brown,0.388,0.069
BASU/BAFU,BAFU,Green,0.361,0.054
GASU/BAFU,BAFU,Green,0.372,0.087
BASU/BAFU,BAFU,Brown,0.326,0.061
BASU/BAFU,BAFU,Green,0.352,0.063
BASU/BAFU,BAFU,Brown,0.306,0.074
BASU/BAFU,BAFU,Green,0.314,0.075
BASU/BAFU,BASU,Brown,0.499,0.056
BASU/BAFU,BASU,Green,0.519,0.058
BASU/GAFU,BASU,Brown,0.371,0.086
BASU/GAFU,BASU,Green,0.491,0.069
GASU/GAFU,GAFU,Green,0.259,0.054
GASU/GAFU,GAFU,Brown,0.374,0.083
GASU/GAFU,GAFU,Brown,0.399,0.067
GASU/GAFU,GAFU,Green,0.531,0.089
GASU/BAFU,GASU,Brown,0.495,0.07
GASU/BAFU,GASU,Green,0.624,0.087
GASU/GAFU,GASU,Brown,0.395,0.055
GASU/GAFU,GASU,Green,0.471,0.058
BASU/GAFU,GAFU,Green,0.312,0.057
BASU/GAFU,GAFU,Brown,0.407,0.088
GASU/GAFU,GAFU,Green,0.374,0.054
GASU/GAFU,GAFU,Brown,0.397,0.053
