Trial_Type,Response,Interaction,df,X2,p,beta_trial
Brown_Seagrass_and_Fucus/Green_Seagrass_Brown_Fucus,BAFU,Isopod_Color,1,0.023,0.88,1
Brown_Seagrass_and_Fucus/Green_Seagrass_Brown_Fucus,BAFU,Trial_Type,1,0.089,0.765,1
Brown_Seagrass_and_Fucus/Green_Seagrass_Brown_Fucus,BAFU,Date_of_Collection,4,6.267,0.18,1
Brown_Seagrass_and_Fucus/Green_Seagrass_Brown_Fucus,BAFU,Isopod_Color:Trial_Type,1,0.01,0.919,1
Brown_Seagrass_and_Fucus,BAFU,Isopod_Color,1,0.087,0.769,2
Brown_Seagrass_and_Fucus,BAFU,Field_Habitat,1,0.186,0.666,2
Brown_Seagrass_and_Fucus,BAFU,Isopod_Color:Field_Habitat,1,0.016,0.9,2
Green_Seagrass_and_Fucus,GAFU,Isopod_Color,1,0.311,0.577,2
Green_Seagrass_and_Fucus,GAFU,Field_Habitat,1,2.623,0.105,2
Green_Seagrass_and_Fucus,GAFU,Isopod_Color:Field_Habitat,1,4.012,0.045,2
Brown_Seagrass_and_Fucus/Brown_Seagrass_Green_Fucus,BASU,Isopod_Color,1,0.276,0.599,3
Brown_Seagrass_and_Fucus/Brown_Seagrass_Green_Fucus,BASU,Trial_Type,1,0.887,0.246,3
Brown_Seagrass_and_Fucus/Brown_Seagrass_Green_Fucus,BASU,Date_of_Collection,4,11.583,0.021,3
Brown_Seagrass_and_Fucus/Brown_Seagrass_Green_Fucus,BASU,Isopod_Color:Trial_Type,1,1.342,0.247,3
Green_Seagrass_Brown_Fucus/Green_Seagrass_Green_Fucus,GASU,Isopod_Color,1,2.385,0.122,4
Green_Seagrass_Brown_Fucus/Green_Seagrass_Green_Fucus,GASU,Trial_Type,1,3.16,0.078,4
Green_Seagrass_Brown_Fucus/Green_Seagrass_Green_Fucus,GASU,Date_of_Collection,4,3.544,0.472,4
Green_Seagrass_Brown_Fucus/Green_Seagrass_Green_Fucus,GASU,Isopod_Color:Trial_Type,1,0.169,0.681,4
Green_Seagrass_and_Fucus/Brown_Seagrass_Green_Fucus,GAFU,Isopod_Color,1,0.742,0.389,6
Green_Seagrass_and_Fucus/Brown_Seagrass_Green_Fucus,GAFU,Trial_Type,1,0.326,0.568,6
Green_Seagrass_and_Fucus/Brown_Seagrass_Green_Fucus,GAFU,Date_of_Collection,4,7.073,0.132,6
Green_Seagrass_and_Fucus/Brown_Seagrass_Green_Fucus,GAFU,Isopod_Color:Trial_Type,1,0.407,0.524,6
Green_Seagrass_Brown_Fucus,GASU,Isopod_Color,1,3.101,0.078,5
Green_Seagrass_Brown_Fucus,GASU,BAFU_new,1,27.452,0.0001,5
Green_Seagrass_Brown_Fucus,GASU,Date_of_Collection,2,0.647,0.724,5
Green_Seagrass_Brown_Fucus,GASU,Isopod_Color:BAFU_new,1,0.069,0.792,5
Brown_Seagrass_Green_Fucus,BASU,Isopod_Color,1,0.88,0.349,7
Brown_Seagrass_Green_Fucus,BASU,GAFU_new,1,61.478,0.0001,7
Brown_Seagrass_Green_Fucus,BASU,Date_of_Collection,2,7.397,0.025,7
Brown_Seagrass_Green_Fucus,BASU,Isopod_Color:GAFU_new,1,2.569,0.109,7
