Isopod_ID,Isopod_Color,Trial_Type,In_Brown,In_Green,Swimming,Other
GRF1,Green,BAFU/GAFU,0,0.8,0,0.2
GRF2,Green,BAFU/GAFU,0,0.8,0,0.2
GRF3,Green,BAFU/GAFU,0,0,1,0
GRF4,Green,BAFU/GAFU,0,0.2,0.8,0
GRF5,Green,BAFU/GAFU,0,1,0,0
GRF6,Green,BAFU/GAFU,0.4,0,0.6,0
GRF7,Green,BAFU/GAFU,0,0.8,0.2,0
GRF8,Green,BAFU/GAFU,0,0.4,0.6,0
GRF9,Green,BAFU/GAFU,0,0.4,0.4,0.2
GRF10,Green,BAFU/GAFU,0,0.8,0.2,0
GRF11,Green,BAFU/GAFU,0,0.8,0.2,0
GRF12,Green,BAFU/GAFU,0,0.6,0.4,0
BRF1,Brown,BAFU/GAFU,0,0.4,0.4,0.2
BRF2,Brown,BAFU/GAFU,0,0,0.8,0.2
BRF3,Brown,BAFU/GAFU,0.2,0,0.8,0
BRF4,Brown,BAFU/GAFU,0,0.2,0.8,0
BRF5,Brown,BAFU/GAFU,0,0.2,0.8,0
BRF6,Brown,BAFU/GAFU,0,0,0,1
BRF7,Brown,BAFU/GAFU,0.4,0,0.4,0.2
BRF8,Brown,BAFU/GAFU,0,0,1,0
BRF9,Brown,BAFU/GAFU,0,0,0.8,0.2
BR10,Brown,BAFU/GAFU,0,0,1,0
BR11,Brown,BAFU/GAFU,0.2,0,0.8,0
BR12,Brown,BAFU/GAFU,0,0,1,0
BRS1,Brown,BASU/GASU,0.8,0,0.2,0
BRS2,Brown,BASU/GASU,0.8,0,0.2,0
BRS3,Brown,BASU/GASU,0.6,0.2,0,0.2
BRS4,Brown,BASU/GASU,0.8,0,0.2,0
BRS5,Brown,BASU/GASU,0.4,0.4,0,0
BRS6,Brown,BASU/GASU,0.8,0,0,0
BRS7,Brown,BASU/GASU,0.6,0,0.2,0.2
BRS8,Brown,BASU/GASU,0.6,0,0,0.2
BRS9,Brown,BASU/GASU,0.8,0,0,0.2
BRS10,Brown,BASU/GASU,0.8,0,0,0
BRS11,Brown,BASU/GASU,0.8,0,0.2,0
GRS1,Green,BASU/GASU,0,0.2,0.2,0.6
GRS2,Green,BASU/GASU,0,0.8,0.2,0
GRS3,Green,BASU/GASU,0,0.6,0.2,0.2
GRS4,Green,BASU/GASU,0,0.8,0.2,0
GRS5,Green,BASU/GASU,0,0.8,0.2,0
GRS6,Green,BASU/GASU,0,0.8,0,0
GRS7,Green,BASU/GASU,0,0.8,0,0
GRS8,Green,BASU/GASU,0.2,0.6,0.2,0
GRS9,Green,BASU/GASU,0,0.4,0,0.6
GRS10,Green,BASU/GASU,0,0.8,0.2,0
GRS11,Green,BASU/GASU,0,0.8,0,0
