Trial_Type,Location,Isopod_Color,emmean,SE
Artificial_Fucus,In_Brown,Green,0.04,0.013
Artificial_Fucus,In_Brown,Brown,0.05,0.015
Artificial_Seagrass,In_Brown,Green,0.04,0.013
Artificial_Seagrass,In_Brown,Brown,0.699,0.042
Artificial_Fucus,In_Green,Brown,0.124,0.037
Artificial_Fucus,In_Green,Green,0.498,0.078
Artificial_Seagrass,In_Green,Brown,0.117,0.037
Artificial_Seagrass,In_Green,Green,0.621,0.077
Artificial_Fucus,Swimming,Green,0.358,0.078
Artificial_Fucus,Swimming,Brown,0.683,0.074
Artificial_Seagrass,Swimming,Brown,0.18,0.053
Artificial_Seagrass,Swimming,Green,0.216,0.061
Artificial_Fucus,Other,Green,0.131,0.041
Artificial_Fucus,Other,Brown,0.179,0.051
Artificial_Seagrass,Other,Green,0.145,0.046
Artificial_Seagrass,Other,Brown,0.146,0.046
