Isopod_ID,Isopod_Color,Trial_Type,Preferred_Habitat
BR10,Brown,Brown and Green Artificial Fucus,Swimming
BR11,Brown,Brown and Green Artificial Fucus,Swimming
BR12,Brown,Brown and Green Artificial Fucus,Swimming
BR1,Brown,Brown and Green Artificial Fucus,In_Green/Swimming
BR2,Brown,Brown and Green Artificial Fucus,Swimming
BR3,Brown,Brown and Green Artificial Fucus,Swimming
BR4,Brown,Brown and Green Artificial Fucus,Swimming
BR5,Brown,Brown and Green Artificial Fucus,Swimming
BR6,Brown,Brown and Green Artificial Fucus,Other
BR7,Brown,Brown and Green Artificial Fucus,In_Brown/Swimming
BR8,Brown,Brown and Green Artificial Fucus,Swimming
BR9,Brown,Brown and Green Artificial Fucus,Swimming
GR1,Green,Brown and Green Artificial Fucus,In_Green
GR10,Green,Brown and Green Artificial Fucus,In_Green
GR11,Green,Brown and Green Artificial Fucus,In_Green
GR12,Green,Brown and Green Artificial Fucus,In_Green
GR2,Green,Brown and Green Artificial Fucus,In_Green
GR3,Green,Brown and Green Artificial Fucus,Swimming
GR4,Green,Brown and Green Artificial Fucus,Swimming
GR5,Green,Brown and Green Artificial Fucus,Swimming
GR6,Green,Brown and Green Artificial Fucus,In_Green
GR7,Green,Brown and Green Artificial Fucus,Swimming
GR8,Green,Brown and Green Artificial Fucus,Swimming
GR9,Green,Brown and Green Artificial Fucus,In_Green/Swimming
BR1,Brown,Brown and Green Artificial Seagrass,In_Brown
BR10,Brown,Brown and Green Artificial Seagrass,In_Brown
BR11,Brown,Brown and Green Artificial Seagrass,In_Brown
BR2,Brown,Brown and Green Artificial Seagrass,In_Brown
BR3,Brown,Brown and Green Artificial Seagrass,In_Brown
BR4,Brown,Brown and Green Artificial Seagrass,In_Brown
BR5,Brown,Brown and Green Artificial Seagrass,Brown_Green
BR6,Brown,Brown and Green Artificial Seagrass,In_Brown
BR7,Brown,Brown and Green Artificial Seagrass,In_Brown
BR8,Brown,Brown and Green Artificial Seagrass,In_Brown
BR9,Brown,Brown and Green Artificial Seagrass,In_Brown
GR1,Green,Brown and Green Artificial Seagrass,Other
GR10,Green,Brown and Green Artificial Seagrass,In_Green
GR11,Green,Brown and Green Artificial Seagrass,In_Green
GR2,Green,Brown and Green Artificial Seagrass,In_Green
GR3,Green,Brown and Green Artificial Seagrass,In_Green
GR4,Green,Brown and Green Artificial Seagrass,In_Green
GR5,Green,Brown and Green Artificial Seagrass,In_Green
GR6,Green,Brown and Green Artificial Seagrass,In_Green
GR7,Green,Brown and Green Artificial Seagrass,In_Green
GR8,Green,Brown and Green Artificial Seagrass,In_Green
GR9,Green,Brown and Green Artificial Seagrass,Other
