Growth Rate,Rearing Treatment
105.1068219,Detritus
141.6370107,Detritus
93.79148182,Detritus
95.02281652,Detritus
127.8576819,Detritus
64.09510579,Detritus
116.6946633,Detritus
62.79975953,Detritus
120.5210124,Detritus
-6.576782414,Detritus
65.64318662,Detritus
78.82058179,Detritus
49.57321354,Detritus
224.9967023,Detritus
25.68750186,Detritus
0.097212143,Detritus
123.4742187,Detritus
70.50120167,Detritus
52.97713742,Detritus
98.08603004,Detritus
170.4196481,Detritus
59.27598376,Eelgrass
64.0568397,Eelgrass
64.40181373,Eelgrass
36.28956939,Eelgrass
147.4131385,Eelgrass
121.9744446,Eelgrass
199.8060929,Eelgrass
125.7944051,Eelgrass
503.680009,Eelgrass
127.5306182,Eelgrass
8.308789241,Eelgrass
354.5185838,Eelgrass
103.3549907,Eelgrass
-29.11616914,Eelgrass
231.928408,Eelgrass
-24.93628957,Eelgrass
51.10161043,Eelgrass
151.494256,Eelgrass
67.72654742,Eelgrass
29.26063783,Eelgrass
92.35548483,Eelgrass
-29.07791242,Eelgrass
358.115524,Eelgrass
-47.71160333,Eelgrass
82.41477204,Eelgrass
529.3020436,Fucus
377.4845698,Fucus
183.9743746,Fucus
38.72953593,Fucus
545.6321301,Fucus
283.5203392,Fucus
567.2728835,Fucus
507.0123079,Fucus
372.3057635,Fucus
543.3428217,Fucus
308.3940541,Fucus
790.8806357,Fucus
170.1803733,Fucus
263.7982785,Fucus
931.8131392,Fucus
634.622881,Fucus
404.3958168,Fucus
663.4013174,Fucus
194.9498546,Fucus
693.4432197,Fucus
173.0001058,Fucus
