Food,Survival
Fucus,1
Fucus,1
Fucus,1
Fucus,1
Fucus,1
Fucus,1
Fucus,1
Fucus,1
Fucus,1
Fucus,1
Fucus,1
Fucus,1
Fucus,1
Fucus,1
Fucus,1
Fucus,1
Fucus,1
Fucus,1
Fucus,1
Fucus,0
Fucus,1
Fucus,1
Fucus,1
Fucus,1
Fucus,1
Eelgrass,0
Eelgrass,1
Eelgrass,1
Eelgrass,1
Eelgrass,0
Eelgrass,1
Eelgrass,0
Eelgrass,1
Eelgrass,0
Eelgrass,0
Eelgrass,0
Eelgrass,1
Eelgrass,0
Eelgrass,0
Eelgrass,0
Eelgrass,1
Eelgrass,0
Eelgrass,0
Eelgrass,1
Eelgrass,0
Eelgrass,1
Eelgrass,0
Eelgrass,1
Eelgrass,1
Eelgrass,0
Detritus,1
Detritus,0
Detritus,1
Detritus,0
Detritus,0
Detritus,1
Detritus,0
Detritus,0
Detritus,1
Detritus,1
Detritus,0
Detritus,1
Detritus,0
Detritus,1
Detritus,0
Detritus,0
Detritus,1
Detritus,1
Detritus,0
Detritus,1
Detritus,0
Detritus,1
Detritus,0
Detritus,0
Detritus,1
