,Color,Survivorship,Size,Habitat
1,Brown,1,20,Fucus
2,Green,1,20,Fucus
3,Brown,1,10,Fucus
4,Green,1,10,Fucus
5,Brown,0,9,Fucus
6,Green,1,10,Fucus
7,Brown,1,8,Fucus
8,Green,0,10,Fucus
9,Brown,1,10,Fucus
10,Green,0,11,Fucus
11,Brown,1,12,Fucus
12,Green,1,13,Fucus
13,Brown,0,9,Fucus
14,Green,1,9,Fucus
15,Brown,1,15,Fucus
16,Green,1,17,Fucus
17,Brown,0,7,Fucus
18,Green,0,9,Fucus
19,Brown,1,12,Fucus
20,Green,0,12,Fucus
21,Brown,1,11,Fucus
22,Green,0,13,Fucus
23,Brown,1,10,Fucus
24,Green,1,9,Fucus
25,Brown,0,10,Fucus
26,Green,1,11,Fucus
27,Brown,1,10,Fucus
28,Green,1,10,Fucus
29,Brown,1,14,Fucus
30,Green,0,16,Fucus
31,Brown,1,18,Fucus
32,Green,0,16,Fucus
33,Brown,1,15,Fucus
34,Green,0,17,Fucus
35,Brown,1,15,Fucus
36,Green,0,16,Fucus
37,Brown,1,18,Fucus
38,Green,1,18,Fucus
39,Brown,1,16,Fucus
40,Green,0,16,Fucus
41,Brown,0,7,Eelgrass
42,Green,1,7,Eelgrass
43,Brown,1,9,Eelgrass
44,Green,1,8.5,Eelgrass
45,Brown,1,13,Eelgrass
46,Green,1,13,Eelgrass
47,Brown,0,10,Eelgrass
48,Green,1,12,Eelgrass
49,Brown,1,9,Eelgrass
50,Green,1,10,Eelgrass
51,Brown,0,11,Eelgrass
52,Green,1,15,Eelgrass
53,Brown,1,7,Eelgrass
54,Green,1,8,Eelgrass
55,Brown,1,9,Eelgrass
56,Green,1,11,Eelgrass
57,Brown,0,11,Eelgrass
58,Green,1,11,Eelgrass
59,Brown,1,7,Eelgrass
60,Green,1,6,Eelgrass
61,Brown,1,7,Eelgrass
62,Green,1,7,Eelgrass
63,Brown,1,7,Eelgrass
64,Green,1,8,Eelgrass
65,Brown,0,6,Eelgrass
66,Green,0,6,Eelgrass
67,Brown,0,11,Eelgrass
68,Green,1,11,Eelgrass
69,Brown,0,8,Eelgrass
70,Green,1,10,Eelgrass
71,Brown,1,8,Eelgrass
72,Green,1,8,Eelgrass
73,Green,1,7,Eelgrass
74,Brown,1,9,Eelgrass
75,Green,0,10,Eelgrass
76,Brown,1,7,Eelgrass
77,Green,1,8,Eelgrass
78,Brown,0,10,Eelgrass
79,Green,1,10,Eelgrass
